sample,cutoff,n_total_sequences,n_unique_sequences,group_1,group_2,total_count,fraction_expected,coverage
AH_Tile_F2_S22,10,0,0,AH,Tile_F2,198,0,0
AH_Tile_F3_S23,10,0,0,AH,Tile_F3,44,0,0
ARF1_Tile2_S30,10,0,0,ARF1,Tile2,1211,0,0
ARF1_Tile3_S31,10,0,0,ARF1,Tile3,1181,0,0
BBS1_Tile6_S38,10,0,0,BBS1,Tile6,1307,0,0
BBS1_Tile7_S39,10,0,0,BBS1,Tile7,1306,0,0
BCL10_Tile3_S46,10,0,0,BCL10,Tile3,1202,0,0
RAN_Tile1_S143,10,0,0,RAN,Tile1,688,0,0
RAN_Tile5_S147,10,0,0,RAN,Tile5,1014,0,0
RAN_Tile6_S148,10,0,0,RAN,Tile6,662,0,0
RHOA_Tile1_S157,10,0,0,RHOA,Tile1,970,0,0
RIT_Tile4_S164,10,0,0,RIT,Tile4,1203,0,0
RIT_Tile5_S165,10,0,0,RIT,Tile5,919,0,0
RUNX1_Tile7_S172,10,0,0,RUNX1,Tile7,1308,0,0
RUNX1_Tile8_S173,10,0,0,RUNX1,Tile8,1287,0,0
SMAD4_Tile6_S180,10,0,0,SMAD4,Tile6,1316,0,0
SMAD4_Tile7_S181,10,0,0,SMAD4,Tile7,1250,0,0
RUNX1_Tile3_S168,10,62,4,RUNX1,Tile3,1307,0.003060444,0.047436878
SMAD4_Tile8_S182,10,1213,14,SMAD4,Tile8,1253,0.011173184,0.968076616
GATA2_Tile4_S81,10,807,67,GATA2,Tile4,1309,0.05118411,0.616501146
circRNA_architectures_current_hairpin_only_final_S18,55.29533445,5858,82,hairpin,full,460,0.17826087,12.73478261
RAB27A_Tile1_S129,10,2538,222,RAB27A,Tile1,899,0.246941046,2.823136819
RAB27A_Tile4_S132,10,3712,317,RAB27A,Tile4,1127,0.281277728,3.293700089
Rac1_Tile2_S135,29.50945689,18695,509,Rac1,Tile2,1321,0.385314156,14.15215746
PRKAG2_Tile10_S108,29.50945689,19360,516,PRKAG2,Tile10,1313,0.392993145,14.7448591
RAB1A_Tile2_S111,51.56861398,34001,527,RAB1A,Tile2,1334,0.395052474,25.488006
PRKAG2_Tile7_S105,33.92870449,22235,515,PRKAG2,Tile7,1289,0.399534523,17.24980605
RALA_Tile5_S142,84.04399167,35803,348,RALA,Tile5,848,0.410377358,42.22051887
RHOA_Tile2_S158,10,6937,538,RHOA,Tile2,1286,0.418351477,5.394245723
circRNA_architectures_full_order_final_S19,10,18347,1181,hairpin,architectures,2760,0.427898551,6.647463768
SMAD4_Tile4_S178,33.92870449,23200,539,SMAD4,Tile4,1212,0.444719472,19.14191419
ETV6_Tile3_S62,18.10672911,13503,556,ETV6,Tile3,1214,0.457990115,11.12273476
RAB7A_Tile2_S115,29.50945689,19604,497,RAB7A,Tile2,1080,0.460185185,18.15185185
ETV6_Tile8_S67,15.74830959,12164,578,ETV6,Tile8,1235,0.468016194,9.849392713
NRAS_Tile1_S95,18.10672911,45127,926,NRAS,Tile1,1919,0.482542991,23.51589369
RIT_Tile1_S161,25.66582069,50969,902,RIT,Tile1,1869,0.482611022,27.27073301
BBS1_Tile9_S41,15.74830959,12919,637,BBS1,Tile9,1312,0.485518293,9.84679878
RAB1A_Tile1_S110,10,6876,565,RAB1A,Tile1,1110,0.509009009,6.194594595
CDC42_Tile3_S51,15.74830959,13345,633,CDC42,Tile3,1225,0.516734694,10.89387755
RUNX1_Tile4_S169,18.10672911,16828,681,RUNX1,Tile4,1313,0.518659558,12.81645088
RIT_Tile2_S162,10,8548,636,RIT,Tile2,1194,0.532663317,7.159128978
GATA2_Tile3_S80,18.10672911,22548,728,GATA2,Tile3,1321,0.551097653,17.06888721
SMS_Tile3_S188,10,9563,686,SMS,Tile3,1214,0.565074135,7.877265239
ETV6_Tile6_S65,10,9624,719,ETV6,Tile6,1268,0.5670347,7.589905363
GATA2_Tile8_S85,10,11507,802,GATA2,Tile8,1283,0.625097428,8.968823071
BBS1_Tile8_S40,15.74830959,19338,841,BBS1,Tile8,1326,0.634238311,14.58371041
BBS1_Tile2_S34,10,13495,938,BBS1,Tile2,1338,0.701046338,10.08594918
GATA2_Tile5_S82,10,14497,964,GATA2,Tile5,1356,0.710914454,10.69100295
CDC42_Tile2_S50,10,15994,1030,CDC42,Tile2,1327,0.776186888,12.05275057
EPM2A_Tile3_S55,10,15312,978,EPM2A,Tile3,1236,0.791262136,12.38834951
NHLRC1_Tile6_S92,10,16601,1070,NHLRC1,Tile6,1271,0.841856806,13.061369
GATA2_Tile7_S84,10,19471,1146,GATA2,Tile7,1341,0.85458613,14.51976137
GATA2_Tile6_S83,10,18273,1135,GATA2,Tile6,1304,0.870398773,14.01303681
ETV6_Tile5_S64,10,18272,1071,ETV6,Tile5,1225,0.874285714,14.91591837
RUNX1_Tile6_S171,10,21763,1218,RUNX1,Tile6,1360,0.895588235,16.00220588
RUNX1_Tile5_S170,10,23836,1290,RUNX1,Tile5,1425,0.905263158,16.72701754
BBS1_Tile10_S42,10,20864,1193,BBS1,Tile10,1311,0.909992372,15.91456903
STK11_Tile3_S196,96.63016734,284366,984,STK11,Tile3,1068,0.921348315,266.2602996
FOXP3_Tile2_S70,10,20571,1111,FOXP3,Tile2,1189,0.934398654,17.30109336
FRED3_7_S227,208.1833846,718749,1273,FRED3,7,1354,0.940177253,530.8338257
