sample,cutoff,n_total_sequences,n_unique_sequences
20250513_oligo_order_KP_S17,157.48309587867882,13428,24
AH_Tile_F10_S20,22.322821950575225,13342,194
AH_Tile_F11_S21,157.48309587867882,42390,87
AH_Tile_F2_S22,10,0,0
AH_Tile_F3_S23,10,0,0
AH_Tile_F4_S24,339.287044854643,30902,22
AH_Tile_F5_S25,901.1761747505017,107451,22
AH_Tile_F7_S26,316.4202335855572,25138,22
AH_Tile_F8_S27,90.11761747505017,32114,107
AH_Tile_F9_S28,63.57619759994428,31050,130
ARAFcterm_block4_V453E_tile_lib_S8,295.0945688634609,1265866,1097
ARF1_Tile1_S29,10,41073,943
ARF1_Tile2_S30,10,0,0
ARF1_Tile3_S31,10,0,0
ARF1_Tile4_S32,20.818338462984656,48267,948
BBS1_Tile10_S42,10,20864,1193
BBS1_Tile11_S43,19.415252127127154,55698,1056
BBS1_Tile1_S33,18.10672911434034,44355,1056
BBS1_Tile2_S34,10,13495,938
BBS1_Tile3_S35,10,26280,1280
BBS1_Tile4_S36,10,35272,1393
BBS1_Tile5_S37,10,26277,1254
BBS1_Tile6_S38,10,0,0
BBS1_Tile7_S39,10,0,0
BBS1_Tile8_S40,15.74830958786789,19338,841
BBS1_Tile9_S41,15.74830958786789,12919,637
BCL10_Tile1_S44,10,29763,947
BCL10_Tile2_S45,256.6582069469199,1108281,1205
BCL10_Tile3_S46,10,0,0
BCL10_Tile4_S47,16.88639617314164,65885,1222
BCL10_Tile5_S48,16.88639617314164,38593,919
BRAFcterm_block2_R509H_tile_lib_S9,10,16937,1016
BRAFcterm_block6_V600E_tile_lib_S10,10,17296,1032
BRAFcterm_block7_S729E_tile_lib_S11,119.13018674199007,11773,14
CDC42_Tile1_S49,10,28410,1005
CDC42_Tile2_S50,10,15994,1030
CDC42_Tile3_S51,15.74830958786789,13345,633
CDC42_Tile4_S52,15.74830958786789,36757,1006
CRAFcterm_block3_V492E_tile_lib_S12,10,30324,1247
EPM2A_Tile1_S53,10,23763,874
EPM2A_Tile2_S54,10,20158,1128
EPM2A_Tile3_S55,10,15312,978
EPM2A_Tile4_S56,10,25112,1186
EPM2A_Tile5_S57,10,27580,1188
EPM2A_Tile6_S58,10,26802,1231
EPM2A_Tile7_S59,16.88639617314164,41543,901
ETV6_Tile1_S60,18.10672911434034,44356,974
ETV6_Tile2_S61,10,31237,1228
ETV6_Tile3_S62,18.10672911434034,13503,556
ETV6_Tile4_S63,10,22810,1196
ETV6_Tile5_S64,10,18272,1071
ETV6_Tile6_S65,10,9624,719
ETV6_Tile7_S66,10,25940,1220
ETV6_Tile8_S67,15.74830958786789,12164,578
ETV6_Tile9_S68,10,26033,967
FOXP3_Tile1_S69,15.74830958786789,37682,986
FOXP3_Tile2_S70,10,20571,1111
FOXP3_Tile3_S71,10,28790,1160
FOXP3_Tile4_S72,10,28137,1239
FOXP3_Tile5_S73,10,33423,1125
FOXP3_Tile6_S74,10,26101,1159
FOXP3_Tile7_S75,10,33748,1233
FOXP3_Tile8_S76,10,46051,1258
FOXP3_Tile9_S77,15.74830958786789,38571,915
FRED1_10_S241,119.13018674199007,747504,1291
FRED1_11_S242,363.8063770503799,971095,1071
